,coef,[0.025,0.975],t,P>|t|
const,    0.1053,    0.071,    0.140,    6.454, 0.000
urban_population_rate,    0.3493,    0.212,    0.486,    5.384, 0.000
gdp_per_capita,   -0.3803,   -0.667,   -0.093,   -2.797, 0.012
unemployment_rate,   -0.0413,   -0.078,   -0.004,   -2.355, 0.031
prev_population,    1.0455,    0.826,    1.265,   10.056, 0.000

5.937885741431094e-06
4.952020885978023e-05
0.012379373522935215
0.030805311261822337
1.4271006736739119e-08

4.0,21.923306782937438,5.480826695734359,1087.2272928945229,3.12168317575004e-20,0.9961061947622114
17.0,0.0856987811439382,0.005041104773172835
21.0,22.009005564081377
