,coef,[0.025,0.975],t,P>|t|
const,    0.0443,   -0.051,    0.140,    0.966, 0.346
gdp_per_capita,    0.9790,    0.883,    1.075,   21.361, 0.000

0.3457576930698081
3.0612419426417288e-15

1.0,21.084850247878865,21.084850247878865,456.3053391180842,3.0612419426417233e-15,0.9580101284671058
20.0,0.9241553162025333,0.046207765810126665
21.0,22.0090055640814
