,coef,[0.025,0.975],t,P>|t|
const,   -0.0325,   -0.140,    0.075,   -0.629, 0.537
year,    1.0177,    0.905,    1.130,   18.909, 0.000

0.5367455050693093
3.1422887414726434e-14

1.0,20.843127625028835,20.843127625028835,357.5524834437917,3.1422887414726516e-14,0.947027232300069
20.0,1.165877939052572,0.0582938969526286
21.0,22.009005564081406
