,coef,[0.025,0.975],t,P>|t|
const,    0.0443,   -0.399,    0.487,    0.208, 0.837
unemployment_rate,   -0.3133,   -0.756,    0.130,   -1.475, 0.156

0.8370548157574518
0.1557276025661587

1.0,2.159815241484712,2.159815241484712,2.1762250312305556,0.15572760256615928,0.09813324982794824
20.0,19.849190322596698,0.9924595161298349
21.0,22.00900556408141
