,coef,[0.025,0.975],t,P>|t|
const,    0.0443,   -0.037,    0.126,    1.141, 0.269
urban_population_rate,    0.1111,   -0.214,    0.436,    0.718, 0.482
gdp_per_capita,    0.8488,    0.528,    1.169,    5.564, 0.000
unemployment_rate,   -0.1139,   -0.200,   -0.028,   -2.780, 0.012

0.26871450857568674
0.48194563113039424
2.7886187470735333e-05
0.012359233160025173

3.0,21.413563418012842,7.137854472670948,215.77475050495096,2.702887018165805e-14,0.9729455224891976
18.0,0.5954421460685645,0.03308011922603136
21.0,22.009005564081406
