population,urban_population_rate,gdp_per_capita,unemployment_rate,year,prev_population
-0.9736055265421576,,,,-1.6583123951777,
-1.0670279841222094,-1.853046268863103,-1.240100621253774,0.2368827453062408,-1.507556722888818,-0.9736055265421576
-1.1355377863475806,-1.6997083501069434,-1.2147285467590068,0.5866425034765304,-1.3568010505999364,-1.0670279841222094
-1.1978194247342817,-1.4335596942777111,-1.152134403091401,0.5866425034765304,-1.2060453783110545,-1.1355377863475806
-1.1666786055409313,-1.1674110384484793,-1.0964103483629224,0.5866425034765304,-1.0552897060221726,-1.1978194247342817
-1.1043969671542302,-0.901262382619247,-1.04661129097348,0.5866425034765304,-0.9045340337332909,-1.1666786055409313
-1.054571656444869,-0.7651636381611169,-0.9935771123375698,0.41176262439138595,-0.753778361444409,-1.1043969671542302
-0.9113238881554565,-0.6199916440724453,-0.914153068252948,0.2368827453062408,-0.6030226891555273,-1.054571656444869
-0.7867606113820542,-0.4666537253162851,-0.7008531640476566,0.3418106727573279,-0.45226701686664544,-0.9113238881554565
-0.6248283515766312,-0.32148173122761287,-0.6125234491160175,0.3418106727573279,-0.30151134457776363,-0.7867606113820542
-0.4130707810618472,-0.19173426151086229,-0.44255235980723395,0.2368827453062408,-0.15075567228888181,-0.6248283515766312
-0.2511385212564242,-0.010269268900022225,-0.19159419030598462,-0.4626367710343391,0.0,-0.4130707810618472
0.15992029209580344,0.16756642385860046,-0.031146716351970333,-0.8123965292046295,0.15075567228888181,-0.2511385212564242
0.35922153493324716,0.2864259940187009,0.1254840415247509,-0.6375166501194843,0.30151134457776363,0.15992029209580344
0.5273819585773403,0.4179881136615602,0.2936739966641311,-0.4626367710343391,0.45226701686664544,0.35922153493324716
0.776508512124145,0.5749553322699366,0.4561934022029616,-0.28775689194919396,0.6030226891555273,0.5273819585773403
0.9882660826389289,0.7437177753980178,0.6808707552862788,-0.11287701286404878,0.753778361444409,0.776508512124145
1.106601195573661,0.8952410442280694,0.860438159303685,-0.6375166501194843,0.9045340337332909,0.9882660826389289
1.262305291540414,1.0413203632797956,0.9509852045278466,-1.3370361664600643,1.0552897060221726,1.106601195573661
1.3930967321524863,1.1892143322576298,1.3106652577165578,-2.036555682800644,1.2060453783110545,1.262305291540414
1.4117812236684968,1.299907977750242,1.395796201078656,1.286162019817111,1.3568010505999364,1.3930967321524863
1.4180093875071669,1.3779379245729033,1.7123655374324191,-1.5119160455452094,1.507556722888818,1.4117812236684968
1.2836678935070513,1.436006722208372,1.8499127149226753,2.8600809315834166,1.6583123951777,1.4180093875071669
