,coef,[0.025,0.975],t,P>|t|
const,    0.1031,    0.045,    0.161,    3.691, 0.001
prev_population,    1.0091,    0.950,    1.068,   35.583, 0.000

0.0014456279473715151
1.467117780556295e-19

1.0,21.66675997155164,21.66675997155164,1266.1527537227341,1.4671177805562985e-19,0.9844497475575039
20.0,0.3422455925297666,0.01711227962648833
21.0,22.00900556408141
