,population,urban_population_rate,gdp_per_capita,unemployment_rate
count,23.0,23.0,23.0,23.0
mean,2.9348504303134573e-15,-7.626749473511945e-16,9.654113257610057e-17,-9.267948727305654e-16
std,1.02247471629109,1.02247471629109,1.0224747162910903,1.02247471629109
min,-1.1978194247342817,-1.8719200352619476,-1.2535721107676971,-1.8976411255260395
25%,-1.0140885914935134,-0.7394983008900824,-0.9829749889953563,-0.5922616742933142
50%,-0.2511385212564242,0.09985729268656181,-0.11066911082785554,0.0988215645945992
75%,1.0474336391062948,0.8812194354411915,0.7750042548460826,0.4059696707670048
max,1.4180093875071669,1.4005043042520589,1.786929931827606,2.402432360887645
