,coef,[0.025,0.975],t,P>|t|
const,    0.0722,   -0.031,    0.175,    1.488, 0.156
urban_population_rate,    0.0746,   -0.740,    0.889,    0.194, 0.849
gdp_per_capita,   -0.5280,   -1.049,   -0.007,   -2.148, 0.047
unemployment_rate,   -0.0476,   -0.090,   -0.006,   -2.406, 0.029
year,    0.4381,   -0.841,    1.718,    0.726, 0.478
prev_population,    1.0443,    0.821,    1.268,    9.902, 0.000

0.15618452724669699
0.8485449990239115
0.04737869469232167
0.028578677373272313
0.47844658891727077
3.1486131115891214e-08

5.0,21.926038376500564,4.385207675300113,845.6755598275719,8.579084654673427e-19,0.9962303073012845
16.0,0.08296718758090595,0.005185449223806622
21.0,22.00900556408147
