,coef,[0.025,0.975],t,P>|t|
const,    0.0042,   -0.258,    0.267,    0.034, 0.973
urban_population_rate,   -0.2218,   -2.315,    1.872,   -0.223, 0.826
gdp_per_capita,    0.6680,   -0.502,    1.838,    1.204, 0.245
unemployment_rate,   -0.1214,   -0.222,   -0.021,   -2.558, 0.020
year,    0.5312,   -2.767,    3.829,    0.340, 0.738

0.9733808377158413
0.825821412228098
0.2449220257648725
0.020361749618915667
0.7381319236229908

4.0,21.417581564542036,5.354395391135509,153.90772393445226,4.132297801016914e-13,0.9731280907800534
17.0,0.5914239995392964,0.03478964703172332
21.0,22.00900556408133
