,coef,[0.025,0.975],t,P>|t|
const,    0.0443,   -0.086,    0.175,    0.709, 0.487
urban_population_rate,    0.9604,    0.830,    1.091,   15.381, 0.000

0.48668609663356266
1.5148536323025528e-12

1.0,20.293308051625065,20.293308051625065,236.56044150313454,1.5148536323025555e-12,0.9220456595614501
20.0,1.7156975124563392,0.08578487562281696
21.0,22.009005564081406
